mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4797999747701304,2022-08-02 12:49,山上的呆呆,https://weibo.com/1426522623?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#虽然孩子无辜，但跟男的没有一点关系，男的无需博取同情，因为真的很同情他。 ​,iQOO Neo5 生而为赢,,,,https://weibo.com/1426522623/LF7q6wjsA?refer_flag=1001030103_,0,0,0
4797989871162434,2022-08-02 12:09,LareiR,https://weibo.com/2813750913?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#enmmmm猜了地方 ​,iPhone客户端,,,,https://weibo.com/2813750913/LF7ab4SoW?refer_flag=1001030103_,0,0,0
4797969741650660,2022-08-02 10:49,用户6482022173,https://weibo.com/6482022173?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#， ，十: 仪丿 淑 ？:) ​,OPPO Reno,,,,https://weibo.com/6482022173/LF6DI6Vpy?refer_flag=1001030103_,0,0,1
4797734127928041,2022-08-01 19:13,大理寺魔法师,https://weibo.com/7166758168?refer_flag=1001030103_,结婚16年3娃非亲生之所以能3天热搜3连，每年呈近50%增长的亲子鉴定量表明了深厚的“群众基础”，不妨猜一猜全国整体非亲生率大概多少？#结婚16年3孩均非亲生男子发声# #结婚16年3孩均非亲生事件双方发声# #3孩均非亲生事件第三人发声# ​,微博 weibo.com,,,https://wx2.sinaimg.cn/orj360/007P0ZbGgy1h4rh9f7ln4j30u01rgjzc.jpg,https://weibo.com/7166758168/LF0vGxgrD?refer_flag=1001030103_,1,0,3
4797717031944368,2022-08-01 18:05,天气好的话ovo,https://weibo.com/6481937666?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#虽然我是护女的，但...... ​,HUAWEI P30,,,,https://weibo.com/6481937666/LF04789OM?refer_flag=1001030103_,0,0,3
4797701508042651,2022-08-01 17:03,辣诗人杨金,https://weibo.com/6555601455?refer_flag=1001030103_,3个孩子都不是亲生的，但他老婆说没出轨？#结婚16年3孩均非亲生事件双方发声##吐槽# L辣诗人杨金的微博视频 ​,微博视频号,,,,https://weibo.com/6555601455/LEZF4xKgb?refer_flag=1001030103_,0,0,0
4797683333601857,2022-08-01 15:51,惊鸿偏偏,https://weibo.com/5564057998?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#拳师看了都沉默 ​,OPPO Find X,,,,https://weibo.com/5564057998/LEZbLf70t?refer_flag=1001030103_,0,0,0
4797653663091069,2022-08-01 13:53,LXYhahaha_super3,https://weibo.com/1800202574?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声# 婚内出轨biss，男女都一样，人品有问题（还不知悔改）迟早倒大霉。 ​,iPhone 12 Pro Max,,,,https://weibo.com/1800202574/LEYpUcY7X?refer_flag=1001030103_,0,0,3
4797649536420102,2022-08-01 13:37,这个总该可以用了吧,https://weibo.com/6658802976?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声# 建议推广强制婚检和亲子检查，完善基因库减少拐卖/走失等案件 ​,iPhone客户端,,,,https://weibo.com/6658802976/LEYjfqWa2?refer_flag=1001030103_,0,0,6
4797643437642196,2022-08-01 13:13,Amazon五爷,https://weibo.com/2210426790?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#这……太难受了吧，男主真的会崩溃。 ​,iPhone 12 Pro Max,,,https://wx3.sinaimg.cn/orj360/83c06fa6gy1h4r6tvmhqmj20qv7suhdt.jpg,https://weibo.com/2210426790/LEY9pw45e?refer_flag=1001030103_,0,8,25
4797634419628891,2022-08-01 12:37,茧房一号,https://weibo.com/6431871796?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#当男性是施暴者时，全体男性都是施暴者；当女性是施暴者时，她一定也是受害者;当男性是受害者时，大概率看不到受害者；当女性是受害者时，全体女性都是受害者。这事儿如果角色对调，中国还不得再一次微博“亡国” ​,iPhone客户端,,,,https://weibo.com/6431871796/LEXUREoUH?refer_flag=1001030103_,0,0,0
4797618902008574,2022-08-01 11:35,热心村民孙先生,https://weibo.com/2781981873?refer_flag=1001030103_,#结婚16年3孩均非亲生事件双方发声#好家伙，我直呼好家伙。 ​,,,,https://wx2.sinaimg.cn/orj360/a5d1acb1ly1h4r4159tnmj20u01szagi.jpg,https://weibo.com/2781981873/LEXvQ8qwm?refer_flag=1001030103_,0,0,2
4797614527351758,2022-08-01 11:18,宋中清主任律师,https://weibo.com/2726417763?refer_flag=1001030103_,热点【@司马南 ：结婚16年3孩均非亲生事件双方发声，女方说法有点意思】#结婚16年3孩均非亲生事件双方发声##司马南频道# L司马南的微博视频 ​​​,热点超话,,,,https://weibo.com/2726417763/LEXoMuQwK?refer_flag=1001030103_,0,0,0
4797613444957712,2022-08-01 11:14,司马南,https://weibo.com/1263406744?refer_flag=1001030103_,【@司马南 ：结婚16年3孩均非亲生事件双方发声，女方说法有点意思】#结婚16年3孩均非亲生事件双方发声##司马南频道# L司马南的微博视频 ​,微博视频号,,,,https://weibo.com/1263406744/LEXn2kNJ6?refer_flag=1001030103_,91,157,840
4797609154446361,2022-08-01 10:57,上饶零距离,https://weibo.com/3732183044?refer_flag=1001030103_,【#结婚16年3孩均非亲生事件双方发声#】#律师谈结婚16年3孩均非亲生事件#江西上饶男子陈世贤（化名）结婚16年后，发现3个女儿都不是亲生，受到众多网友关注同情。7月30日，陈世贤对极目新闻记者表示，找电视台等媒体讲述自己的遭遇，是因为不甘心这十多年来的白白付出。“其实，在鉴定结果出来之前，如果她说能够跟我好好过，这个报告我看都不会看。”陈世贤说。而他的妻子余华并不承认自己与其它男人有染，对于孩子是否亲生的问题，也并未正面回应。视频自：L极目新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/3732183044/LEXg7iEHv?refer_flag=1001030103_,0,0,0
4797598840395506,2022-08-01 10:16,今日诸城,https://weibo.com/1249548545?refer_flag=1001030103_,【#结婚16年3孩均非亲生事件双方发声# 女方：他在博取网友的同情】江西上饶男子陈世贤（化名）结婚16年后，发现3个女儿都不是亲生，受到网友关注。陈世贤称，妻子出轨的那个男人，自己之前见过面。那时候，考虑自己和余华育有三个孩子，没有想过要离婚。但后来他拿到鉴定结果，发现三个孩子都不是亲生，他整个人崩溃了。7月30日，记者联系上了陈世贤的妻子余华，余华称，陈世贤现在是博取网友的同情。她还表示，自己曾多次起诉离婚，不存在出轨。 L今日诸城的微博视频 收起d,微博视频号,,,,https://weibo.com/1249548545/LEWZu1ET8?refer_flag=1001030103_,0,0,5
