mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4798757332323421,2022-08-04 14:59,易秀博谷,https://weibo.com/5041143282?refer_flag=1001030103_,#易秀下午茶# [咖啡]网红烹食的大白鲨濒临灭绝了吗？ 近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注。有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。#警方认定网红用濒危大白鲨做美食#大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？戳↓↓听听浙江海洋大学海洋生物博物馆馆长陈健怎么说~#易秀科研圈#@顾亭_亭BOSS @易秀博谷 L易秀博谷的微博视频 收起d,Android,,,,https://weibo.com/5041143282/LFr819Kqx?refer_flag=1001030103_,0,0,0
4798756535667967,2022-08-04 14:56,易秀博谷,https://weibo.com/5041143282?refer_flag=1001030103_,#易秀下午茶# [咖啡]网红烹食的大白鲨濒临灭绝了吗？ 近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注。有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。#警方认定网红用濒危大白鲨做美食#大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？戳↓↓听听浙江海洋大学海洋生物博物馆馆长陈健怎么说~#易秀科研圈#@顾亭_亭BOSS @易秀博谷 L易秀博谷的微博视频 收起d,Android,,,,https://weibo.com/5041143282/LFr6JnMuP?refer_flag=1001030103_,0,0,0
4798706321464383,2022-08-04 1:36,花开春暖大海永在,https://weibo.com/1160256871?refer_flag=1001030103_,#警方认定网红用濒危大白鲨做美食#这些网红无下限，可惜法律有底线！,iPhone客户端,,,https://wx3.sinaimg.cn/orj360/0082c0iDly1h4shc3v5mpj30m80bkab0.jpg https://wx2.sinaimg.cn/thumb150/0082c0iDly1h4skjwo8tzj31ho1b7u0x.jpg https://wx3.sinaimg.cn/orj360/0082c0iDly1h4shc44picj30a00m0wgx.jpg https://wx4.sinaimg.cn/orj360/0082c0iDly1h4shc50iiij30a00m0jui.jpg https://wx1.sinaimg.cn/orj360/0082c0iDly1h4shc4i537j30a00m0ju8.jpg https://wx2.sinaimg.cn/thumb150/0082c0iDly1h4sl6z3kysj31jk103u0x.jpg,https://weibo.com/1160256871/LFpNK68X5?refer_flag=1001030103_,0,0,0
4798686284746031,2022-08-04 0:17,柳飘飘果然飘了,https://weibo.com/6861547519?refer_flag=1001030103_,#警方认定网红用濒危大白鲨做美食##娃娃鱼 提子# 无下限擦边，翻车是她活该畸形猎奇的吃播，啥时候能消停呢？O无下限擦边，翻车是她活该 ​,荣耀30 Pro 5G,,,,https://weibo.com/6861547519/LFphqjUET?refer_flag=1001030103_,0,1,11
4798522187059252,2022-08-03 23:25,刘口水555,https://weibo.com/7620920811?refer_flag=1001030103_,#警方认定网红用濒危大白鲨做美食#吃牢饭把您 ​,OPPO A93 5G,,,,https://weibo.com/7620920811/LFl0KtCqU?refer_flag=1001030103_,0,0,0
4798512691157208,2022-08-03 22:47,看苏州APP,https://weibo.com/5261484998?refer_flag=1001030103_,#漫·话#【吃播无下限，法律有底线！】日前，一位名叫“提子”的美食网红博主拍摄水煮鲨鱼和烧烤鲨鱼的视频火爆网络，有科普博主反映，这条鲨鱼是国际濒危野生动物噬人鲨。经当地警方介入调查后，确认所涉鲨鱼系噬人鲨（大白鲨），属于国家二级保护动物，相关案件正在进一步办理中。目前，“提子”上百万粉丝的账号已被平台封禁。 #警方认定网红用濒危大白鲨做美食#实际上，这位网红女主播在制作视频时很清楚自己的行为有可能造成违法，特地在视频中打上“人工养殖可食用”的字幕来掩人耳目。而且在受到质疑后，还一度声称“鲨鱼是噬人鲨是尖齿鲨”。但随着噬人鲨被“验明正身”，网红女吃播已涉嫌违法，等待她的必将是法律的严惩。说到底，这些所谓的吃播，贩卖的并不是美食带来的快乐，而是各种猎奇食材带来的新鲜感和刺激感。而此类视频获得的巨大流量，更是让网红吃播们冲昏了头脑。随着一次又一次无下限的试探，法律的镣铐也离他们越来越近。保护野生动物，人人有责。网红靠吃野生保护动物博眼球，是无知无畏更是无法无天。法律制裁有底线，主播“下嘴”不能无下限。 收起d,新版微博 weibo.com,,,https://wx2.sinaimg.cn/orj360/005K4EBggy1h4tyo80stmj30yi0uuacw.jpg,https://weibo.com/5261484998/LFkLr4R2E?refer_flag=1001030103_,0,0,0
4798497855638440,2022-08-03 21:48,新城法院,https://weibo.com/3877456382?refer_flag=1001030103_,#科普一下# 【网红烹食的大白鲨濒临灭绝了吗？】#科普来了# 近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注。7月31日，有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。#警方认定网红用濒危大白鲨做美食#，大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？戳↓↓听听浙江海洋大学海洋生物博物馆馆长陈健怎么说~（科普时报实习记者 吴琼 视频制作 吴桐）  L科技日报的微博视频 收起d,微博视频号,,,,https://weibo.com/3877456382/LFknvnEOA?refer_flag=1001030103_,0,0,1
4798482495834143,2022-08-03 20:47,凯雷,https://weibo.com/1496883514?refer_flag=1001030103_,科技日报：大白鲨不是濒危，是易危，中国没有人工养殖，估计全球也没有好不。【网红烹食的大白鲨濒临灭绝了吗？】#科普来了# 近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注。有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。#警方认定网红用濒危大白鲨做美食#，大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？戳↓↓听听浙江海洋大学海洋生物博物馆馆长陈健怎么说~（科普时报实习记者 吴琼 视频制作 吴桐）  L科技日报的微博视频 收起d,iPhone 7 Plus(亮黑色),,,,https://weibo.com/1496883514/LFjYJotJ5?refer_flag=1001030103_,2,12,39
4798480898327003,2022-08-03 20:40,科技日报,https://weibo.com/3515639462?refer_flag=1001030103_,#科普一下# 【网红烹食的大白鲨濒临灭绝了吗？】#科普来了# 近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注。7月31日，有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。#警方认定网红用濒危大白鲨做美食#，大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？戳↓↓听听浙江海洋大学海洋生物博物馆馆长陈健怎么说~（科普时报实习记者 吴琼 视频制作 吴桐）  L科技日报的微博视频 收起d,微博视频号,,,,https://weibo.com/3515639462/LFjW9yWev?refer_flag=1001030103_,0,0,10
4798479966930489,2022-08-03 20:37,蜘蛛财经,https://weibo.com/7736824558?refer_flag=1001030103_,#警方认定网红用濒危大白鲨做美食# 《媒体称“大白鲨”经淘宝店主线下购买，塑料闺蜜陈一娜账号疑被封》 O媒体称“大白鲨”经淘宝店主线下购买，塑料闺蜜陈一娜账号疑被封 ​​​,微博 weibo.com,,,,https://weibo.com/7736824558/LFjUEt4W5?refer_flag=1001030103_,0,0,0
4798428045380128,2022-08-03 17:10,延安中院,https://weibo.com/3605315293?refer_flag=1001030103_,#案件播报#【#警方认定网红用濒危大白鲨做美食#：相关案件正在办理中】近日，四川南充，网红博主“提子”拍摄水煮鲨鱼和烧烤鲨鱼的视频引发关注。有科普博主反映，视频中的鲨鱼是国际濒危野生动物“噬人鲨”，系国家二级保护动物。7月31日，记者从南充警方获悉，经鉴定，涉事视频中的鲨鱼确是噬人鲨（也称大白鲨），目前相关案件正在进一步办理中。O网红疑用濒危大白鲨做美食 警方回应：确是大白鲨 相关案件正在办理中  L封面新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/3605315293/LFiyUmzCg?refer_flag=1001030103_,0,0,0
4798421254276590,2022-08-03 16:44,九江生态环境,https://weibo.com/5144581163?refer_flag=1001030103_,【#警方认定网红用濒危大白鲨做美食#：相关案件正在办理中】近日，四川南充，网红博主“提子”拍摄水煮鲨鱼和烧烤鲨鱼的视频引发关注。有科普博主反映，视频中的鲨鱼是国际濒危野生动物“噬人鲨”，系国家二级保护动物。7月31日，记者从南充警方获悉，经鉴定，涉事视频中的鲨鱼确是噬人鲨（也称大白鲨），目前相关案件正在进一步办理中。（封面新闻） L封面新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/5144581163/LFinXhWxg?refer_flag=1001030103_,0,0,1
4798406838718455,2022-08-03 15:46,中国科普网,https://weibo.com/3516122664?refer_flag=1001030103_,【网红烹食的大白鲨濒临灭绝了吗？】近日，百万粉丝博主烹煮鲨鱼的一则视频引发关注，事发后，该网红一度澄清说鲨鱼是人工养殖，可食用。7月31日，有关部门回应称，视频中的鲨鱼确认为大白鲨，为我国二级保护动物，来自福建沿海地区。 大白鲨真的濒临灭绝了吗？捕杀大白鲨对海洋生态系统有什么影响？来，科普一下！听听浙江海洋大学海洋生物博物馆馆长陈健怎么说#警方认定网红用濒危大白鲨做美食# （实习记者 吴琼 视频制作 吴桐）  L中国科普网的微博视频 收起d,微博视频号,,,,https://weibo.com/3516122664/LFi0HAA4f?refer_flag=1001030103_,0,0,2
4798397213577741,2022-08-03 15:08,铜川市关爱小动物保护救助,https://weibo.com/2803995515?refer_flag=1001030103_,❤️救回来的每一只都是幸运的，逃过了被宰杀的命运，就让它们生活无忧。足够的粮食才能有力量去帮更多狗子们 结束流浪和被伤害的生活。🙏🙏🙏请大家献出爱的行动#关爱流浪动物##每日一善#王一博#警方认定网红用濒危大白鲨做美食#O网页链接 ​,iPhone客户端,,,,https://weibo.com/2803995515/LFhLbf0Jv?refer_flag=1001030103_,0,2,5
4798382114342101,2022-08-03 14:08,星广网络传媒,https://weibo.com/7673099294?refer_flag=1001030103_,#警方认定网红用濒危大白鲨做美食# 实锤！就是大白鲨！近日，网红博主“提子”拍摄烧烤鲨鱼的视频引发关注。经警方鉴定，视频中的鲨鱼就是噬人鲨（也称大白鲨），属国家二级保护动物，目前相关案件正在进一步办理。此外网友举报，涉事网红还吃过娃娃鱼，孔雀，鸵鸟，把腾腾杀气当人间烟火气。网络给了普通人一夜爆红的机会，但绝不能为博眼球，毫无下限。尤其她在节目中大言不惭地提到是通过正规渠道购买。这是知法犯法还是瞒天过海？到底是如何购买到二级保护动物？背后是否有贩卖产业链？希望警方一查到底。将所涉及责任人都绳之于法。该禁的禁，该罚的罚，让各类主播不敢随意“下口”。某些吃播就是靠吃猎奇食物来无底线博取眼球，蹭热度，赚流量。暴露出的却是法律意识极其浅薄，忘记已经触碰法律的红线，最后换来的只能是自作自受。 L星广网络传媒的微博视频 收起d,微博视频号,,,,https://weibo.com/7673099294/LFhmPidzT?refer_flag=1001030103_,0,0,1
4798377256555766,2022-08-03 13:49,柳絮清风54406,https://weibo.com/7466931259?refer_flag=1001030103_,❤️救回来的每一只都是幸运的，逃过了被宰杀的命运，就让它们生活无忧。足够的粮食才能有力量去帮更多狗子们 结束流浪和被伤害的生活。🙏🙏🙏请大家献出爱的行动#关爱流浪动物##每日一善#王一博#警方认定网红用濒危大白鲨做美食##药王山下的救助##铜川# 『❤️基地改圈、旧圈舍铺地面等人工物料🙏』O网页链接 收起d,小米10S,,,,https://weibo.com/7466931259/LFheZrvsa?refer_flag=1001030103_,0,2,5
4798360387062619,2022-08-03 12:42,临汾政法,https://weibo.com/6894754102?refer_flag=1001030103_,【#购买食用国家二级保护动物如何担责#？】网红博主“提子”拍摄水煮鲨鱼和烧烤鲨鱼的视频引发关注。 7月31日，记者获悉，南充#警方认定网红用濒危大白鲨做美食#。销售、购买、食用国家二级保护动物需要承担什么责任？一起来听律师说…… （来源：法治网）@中国长安网 @山西政法 @法治网 L法治网的微博视频 收起d,微博视频号,,,,https://weibo.com/6894754102/LFgNMtDjd?refer_flag=1001030103_,0,0,0
