x,y
1,0.73
2,0.722
3,0.746
4,0.746
5,0.74
6,0.734
7,0.76
8,0.738
9,0.818
10,0.838
11,0.836
12,0.872
13,0.866
14,0.864
15,0.884
16,0.888
17,0.87
18,0.882
19,0.858
20,0.852
1,0.658
2,0.686
3,0.68
4,0.674
5,0.722
6,0.696
7,0.726
8,0.78
9,0.756
10,0.86
11,0.836
12,0.826
13,0.84
14,0.874
15,0.856
16,0.846
17,0.844
18,0.878
19,0.844
20,0.838
1,0.68
2,0.724
3,0.712
4,0.726
5,0.764
6,0.74
7,0.754
8,0.78
9,0.764
10,0.83
11,0.836
12,0.856
13,0.862
14,0.874
15,0.874
16,0.872
17,0.876
18,0.842
19,0.846
20,0.866
1,0.654
2,0.7
3,0.656
4,0.668
5,0.74
6,0.71
7,0.722
8,0.774
9,0.78
10,0.778
11,0.85
12,0.884
13,0.86
14,0.868
15,0.848
16,0.852
17,0.846
18,0.86
19,0.888
20,0.878
1,0.734
2,0.722
3,0.73
4,0.778
5,0.744
6,0.774
7,0.772
8,0.828
9,0.782
10,0.828
11,0.844
12,0.83
13,0.884
14,0.88
15,0.858
16,0.846
17,0.884
18,0.828
19,0.864
20,0.856
1,0.708
2,0.714
3,0.706
4,0.732
5,0.66
6,0.682
7,0.742
8,0.744
9,0.764
10,0.796
11,0.862
12,0.872
13,0.822
14,0.894
15,0.864
16,0.854
17,0.86
18,0.856
19,0.856
20,0.844
1,0.73
2,0.722
3,0.746
4,0.746
5,0.74
6,0.734
7,0.76
8,0.738
9,0.818
10,0.838
11,0.836
12,0.872
13,0.866
14,0.864
15,0.884
16,0.888
17,0.87
18,0.882
19,0.858
20,0.852
1,0.658
2,0.686
3,0.68
4,0.674
5,0.722
6,0.696
7,0.726
8,0.78
9,0.756
10,0.86
11,0.836
12,0.826
13,0.84
14,0.874
15,0.856
16,0.846
17,0.844
18,0.878
19,0.844
20,0.838
1,0.68
2,0.724
3,0.712
4,0.726
5,0.764
6,0.74
7,0.754
8,0.78
9,0.764
10,0.83
11,0.836
12,0.856
13,0.862
14,0.874
15,0.874
16,0.872
17,0.876
18,0.842
19,0.846
20,0.866
1,0.654
2,0.7
3,0.656
4,0.668
5,0.74
6,0.71
7,0.722
8,0.774
9,0.78
10,0.778
11,0.85
12,0.884
13,0.86
14,0.868
15,0.848
16,0.852
17,0.846
18,0.86
19,0.888
20,0.878
1,0.734
2,0.722
3,0.73
4,0.778
5,0.744
6,0.774
7,0.772
8,0.828
9,0.782
10,0.828
11,0.844
12,0.83
13,0.884
14,0.88
15,0.858
16,0.846
17,0.884
18,0.828
19,0.864
20,0.856
1,0.708
2,0.714
3,0.706
4,0.732
5,0.66
6,0.682
7,0.742
8,0.744
9,0.764
10,0.796
11,0.862
